LX,LY
1007.166626, -389.681976
1373.845215, -787.599426
2225.158936, -1499.181396
3037.260498, -1998.896729
2800.730713, -2074.636963
2012.938477, -1536.523682
1249.675293, -992.786682
500.478424, -458.088318
-6.297755, 317.797394
-192.291794, 1291.282715
377.370605, 1489.993164
1284.294189, 1641.462769
2179.884277, 1791.027222
2809.019775, 1129.999512
3072.346680, 198.106506
3283.080811, -670.342896
1955.363037, -1221.128052
