VelocityX, VelocityY, LocationX, LocationY
517.113831, 304.284790, -15221.324219, 21139.175781
-12.929644, -599.850647, -13919.601563, 21817.628906
6.309964, 599.987488, -13990.395508, 20666.669922
-574.833740, -171.906845, -14291.728516, 22026.261719
481.106873, 358.537170, -15518.701172, 21893.695313
-598.183228, 46.788876, -14638.513672, 22854.261719
410.109985, -437.955688, -15836.901367, 22616.431641
383.139587, 461.766632, -14635.544922, 21623.263672
-546.069214, -248.646988, -13816.254883, 22594.093750
-600.002747, -3.336631, -15520.887695, 21954.867188
-51.025539, 597.806641, -17046.296875, 22092.689453
452.605011, -393.867920, -17016.861328, 23474.671875
450.747559, -396.005432, -15684.038086, 22313.197266
-379.405273, 464.794098, -14749.541992, 21558.203125
-351.921204, 485.973694, -15701.858398, 22727.574219
-353.589111, 484.737030, -16659.535156, 24048.699219
-396.227783, -450.570679, -17930.376953, 25025.525391
427.567169, -420.885376, -18852.955078, 23823.531250
593.836731, -85.820702, -17111.966797, 22282.173828
348.971252, 488.078583, -15113.620117, 22024.105469
-552.843140, -233.173752, -14441.035156, 23144.751953
-470.827576, 371.881958, -16075.400391, 22632.488281
-136.683060, 584.187988, -17314.921875, 23796.566406
598.447815, 43.227840, -17183.029297, 25317.816406
424.488403, -355.861725, -15640.127930, 25370.347656
-92.519386, -592.808228, -14590.972656, 24036.171875
496.147491, -337.367340, -14660.676758, 22415.535156
-11.753759, 59.429123, -14071.678711, 21672.992188
0.000000, 0.000000, -14100.522461, 21818.847656
98.676109, -82.335419, -14095.875977, 21814.970703
42.323162, -45.136086, -13852.417969, 21611.533203
217.070969, 198.696396, -13728.964844, 21518.554688
-57.095547, 116.821434, -13198.579102, 22012.974609
-450.881073, 261.927429, -13398.223633, 22345.980469
161.508545, -95.937851, -14501.105469, 22986.552734
128.016464, -212.252548, -14082.213867, 22685.687500
-131.032623, 214.106445, -13777.392578, 22180.044922
157.957535, 96.654266, -14090.308594, 22712.740234
-250.847473, -245.535110, -13721.291016, 22917.498047
118.851357, 36.801853, -14333.743164, 22314.158203
0.000000, 0.000000, -14041.733398, 22404.580078
-91.780815, -411.127319, -14052.522461, 22356.263672
124.814049, 586.891602, -14257.406250, 21443.052734
559.358154, -217.061447, -13738.743164, 22850.640625
52.866032, 28.448387, -12248.597656, 22310.626953
31.284149, -51.632103, -12118.115234, 22378.826172
169.298767, 57.730099, -12031.429688, 22255.367188
533.016663, -275.490997, -11421.526367, 22263.775391
-46.597019, -598.186707, -10091.360352, 21350.035156
-565.522583, -200.390060, -10376.103516, 19771.685547
-22.105618, 55.465000, -11774.811523, 19277.894531
-24.157921, 60.578747, -11829.751953, 19415.744141
-146.529602, 134.236374, -11896.734375, 19573.109375
-149.738312, 179.096207, -12268.749023, 19914.072266
-457.828674, 387.826172, -12719.897461, 20409.224609
-488.898224, 69.534447, -13916.242188, 21375.048828
-244.397369, -168.473465, -15143.471680, 21533.882813
-348.816193, 488.242523, -15821.939453, 21235.943359
-599.997375, 3.133646, -17698.298828, 22488.107422
570.086975, -187.031296, -18923.330078, 22931.470703
-598.635925, -40.116882, -17788.205078, 22074.369141
582.026184, -145.824387, -19025.265625, 22148.880859
203.307983, -212.495941, -17587.898438, 21783.464844
253.069321, -544.002319, -17031.796875, 21170.634766
318.788971, -508.283203, -16390.722656, 19802.156250
-337.887787, 495.867218, -16619.667969, 19276.755859
-42.336750, 47.550327, -17529.230469, 20770.212891
-599.446045, -25.213814, -17746.380859, 20885.609375
-151.350555, 580.621460, -19306.925781, 21008.158203
-259.482788, -203.788925, -19712.474609, 22431.910156
-268.113525, -186.239929, -20349.603516, 21931.626953
-374.110718, 35.854130, -21029.523438, 21474.546875
0.000000, 0.000000, -21985.566406, 21571.753906
-27.253063, 18.811850, -21986.007813, 21572.058594
-573.604797, 176.048904, -22386.306641, 21713.171875
-572.283997, 180.039703, -23797.666016, 22146.386719
-571.833679, 181.402115, -25202.617188, 22588.396484
-562.388794, 209.038849, -26684.548828, 23061.642578
-561.733215, 210.895447, -28080.396484, 23580.539063
-597.941101, -49.743176, -29497.078125, 24097.615234
-350.161133, 487.242462, -31031.650391, 24028.511719
-319.254974, 507.990204, -31899.355469, 25237.775391
-263.245850, 539.180908, -32712.705078, 26542.060547
-590.006714, -108.836700, -33434.683594, 27876.314453
-563.100891, -207.017914, -34940.085938, 27590.916016
556.092834, -225.198181, -36210.011719, 27005.378906
-78.482803, 176.243591, -34841.980469, 26459.882813
-85.413879, 168.618790, -35034.558594, 26892.273438
-551.193176, -236.962555, -35369.957031, 27266.234375
0.000000, 0.000000, -36730.152344, 26681.470703
-308.202148, -137.399704, -36759.406250, 26668.421875
-548.065186, -244.142700, -37572.796875, 26305.804688
-571.567688, 182.459213, -39036.109375, 25726.304688
295.313171, 228.875885, -40418.707031, 26210.816406
-243.486374, 548.375061, -39787.621094, 27063.746094
-557.393616, 222.038361, -40553.105469, 28502.480469
223.612579, -556.740784, -41908.761719, 28939.013672
149.640091, -274.450165, -41337.300781, 27539.443359
-548.127625, -244.192657, -41055.687500, 26823.591797
26.316797, 68.673790, -42433.570313, 26313.523438
-93.364395, 165.002991, -42375.718750, 26491.085938
0.000000, 0.000000, -42605.386719, 26896.994141
-244.160645, 548.102661, -42653.988281, 27006.126953
562.240479, -209.285309, -43082.527344, 28327.933594
263.023865, -539.303345, -41615.339844, 27691.281250
244.645721, -547.848572, -40900.074219, 26214.431641
-152.626450, -580.240845, -40276.140625, 24706.152344
-545.367126, 103.434364, -39841.449219, 22925.207031
-441.572449, -406.258026, -42548.074219, 22310.359375
-69.314438, -596.008789, -43664.535156, 21199.421875
-316.691895, -509.611542, -43853.984375, 19697.113281
-348.978638, -488.040161, -44637.183594, 18438.287109
-98.133743, -536.009705, -45496.535156, 17222.898438
261.688232, -539.924561, -45715.597656, 15836.796875
277.505219, -504.269165, -45072.921875, 14511.114258
513.374146, 106.058937, -44338.242188, 13268.251953
529.502197, 136.898621, -43073.070313, 13529.981445
542.193115, 120.030968, -41771.695313, 13866.313477
58.550560, 139.532471, -40433.781250, 14168.481445
-72.434914, 131.387009, -40292.652344, 14515.414063
-477.948669, 174.174728, -40530.558594, 14865.137695
0.000000, 0.000000, -41890.175781, 15228.350586
-224.434845, -556.438843, -41960.996094, 15050.162109
-306.518158, -515.767456, -42516.687500, 13676.866211
-573.034241, -178.087814, -43547.562500, 12294.850586
-577.069885, -164.360153, -45276.996094, 11764.503906
-581.728088, -147.033859, -46914.832031, 11304.162109
585.064819, 133.330841, -48079.347656, 10797.647461
340.475555, 494.072418, -46380.859375, 11270.465820
582.239563, 144.957001, -45407.828125, 12540.412109
383.813629, 461.159821, -43893.972656, 12964.974609
591.718201, 99.567284, -42784.398438, 14149.658203
75.242073, -595.244385, -41266.128906, 14234.764648
30.603445, -599.231628, -41042.101563, 12121.866211
23.137690, -599.545593, -40948.917969, 10196.813477
-10.304429, -599.902710, -40892.609375, 8610.230469
-37.301323, -598.842896, -40927.980469, 6949.732422
-36.040363, -598.915710, -41037.804688, 5223.256348
